公司,2731 雄獅,2739 寒舍,2731 雄獅,2739 寒舍,2731 雄獅,2739 寒舍,2731 雄獅,2739 寒舍,(單位:億元)
非流動負債合計,10.38,100.3,10.69,103.1,9.82,105.9,12.58,108.60,
負債總額,56.49,124.4,60.03,124.8,55.41,127.5,50.21,130.90,
普通股股本,9.32,9.15,9.32,9.15,9.32,9.15,8.90,9.15,
特別股股本,-,1,-,1,-,1,-,1.00,
預收股本,0,-,0.001,-,0.003,-,0.40,-,
股本合計,9.32,10.15,9.32,10.15,9.32,10.15,9.29,10.15,
資本公積–發行溢價,14.65,5.56,-,5.56,-,5.56,-,5.56,
資本公積–實際取得或處分子公司股權價格與帳面價值差額,0.44,-,15.11,5.56,14.65,5.56,21.13,5.56,
資本公積–認列對子公司所有權權益變動數,0.011,-,0,-,0,-,0.62,-,
資本公積–認股權,0.002,-,0.62,-,0.62,-,-5.77,-8.48,
資本公積–其他,0.001,-,5.85,-6.6,3.19,-8.04,-5.15,-8.48,
資本公積合計,15.11,5.56,6.47,-6.6,3.81,-8.04,-,0.80,
特別盈餘公積,0.62,-,-,1.15,-,0.8,-0.97,0.80,
未分配盈餘(或待彌補虧損),13.89,-4.89,-1.29,1.15,-0.95,0.8,24.30,8.03,
保留盈餘合計,14.51,-4.89,29.62,10.26,26.84,8.48,1.85,-,
透過其他綜合損益按公允價值衡量之金融資產未實現評價損益,-,1.03,2.59,-,1.92,-,26.15,8.03,
其他權益合計,-1.65,1.03,32.21,10.26,28.76,8.48,-,0.00,
歸屬於母公司業主之權益合計,37.29,11.86,0,-,-,0,0.40,0.00,
非控制權益,0.93,-,31.77,10.11,0,0,-,0.00,
股東權益總額,38.22,11.86,,,-,0,26.15,7.91,
待註銷股本股數(萬張),-,0,,,28.79,8.35,,,
預收股款之約當發行股數(萬張),0,0,,,,,,,
母公司暨子公司持有之母公司庫藏股股數(萬張),-,0,,,,,,,
每股淨值(元),40,11.68,,,,,,,
